id,review,functionality,range_anxiety,availability,cost,ui,location,service_time,dealership
156,Feel free to pull the plug when parking is finished. Green light flashes,1,0,0,0,1,0,0,0
157,"This shows up as a new CCS location as of March 31st, but there are no photos of anything except a 110 outlet. Can anyone confirm if there really is DCFC at this location?",0,0,0,0,1,0,0,0
158,Only one L2 worked and was already occupied.,1,0,1,0,0,0,0,0
159,"Plug 4 did not work, so I grabbed the last free space at the attachment. This area needs more public charging.",1,0,0,0,0,1,0,0
160,"Note: Charged with L2 devices. Did not test L3. Remarkably, I used an L3 charger at the Chevron station in Casa Grande that day. So there are two L3 chargers between Tucson and Phoenix, the other is located at this location. Note that the store closes at 8 p.m., but I assume the chargers are 24.7 available. I think it would be useful for Plug-In to have an information category regarding lighting and proximity to shops and people, so that women can feel comfortable with EV chargers after dark. The staff in this store is pleasant and helpful.",1,0,0,0,0,1,0,0
161,Now four chargers here.: -),0,0,1,0,0,0,0,0
163,"had to try it twice, but worked perfectly afterwards.",1,0,0,0,0,0,0,0
164,With the L1 port.,1,0,0,0,0,0,0,0
165,Charging point $1 / h,0,0,0,1,0,0,0,0
166,on the left side of the screen faded to blue after I pressed Next and tried to connect,1,0,0,0,0,0,0,0
167,"The salesman I spoke to seemed eager to fix the problem, and the guy who wanted to fix it was in no hurry and had to move to Tom Woods Level 3 to get home in time.",1,1,0,0,0,0,0,0
168,I was ICE'd and had to park between points. @ GrapevinePolice contacted via Twitter to begin the crackdown.,0,0,1,0,0,1,0,0
169,Volt does not charge on the spot,1,0,0,0,0,0,0,1
170,"Nearly gave an error message four times, but never worked.",1,0,0,0,0,0,0,0
171,The hotel is located opposite the Courtyard Marriott. We used the bathrooms and drank a cocktail in the hotel.,0,0,0,0,0,1,0,0
172,other charger is occupied by a Fiat that is being charged,0,0,1,0,0,0,0,0
173,"Peak charging power: 30 Ampere, 240 Volt",1,0,0,0,0,0,0,0
174,"wonderful oasis, the only way for me to make our excursions. Leaf could eat for an hour in the local restaurant.",1,1,0,0,0,0,0,1
175,Yes. They all seem to work. I also checked the L-2 RFID readers and screens. I went up the east side of Palomar and used one DCFC on the way up and another on the way down. Both charged me 80%.,1,0,0,0,0,0,0,0
176,Nice place to recharge and eat in the city (easy to reach on foot from the charging station).,0,0,0,0,0,1,0,0
177,"The card failed, but the app worked great.",1,0,0,0,0,0,0,0
178,Tried here around 17: 45 clock on August 18 for the first time to charge my e-Golf. Could not charge. Called support and they could not solve it. Charger said again and again plugin cable.,1,0,0,0,0,0,0,0
179,"It is a healthy walk from Market Common (cinema, shops, etc.), but it did not work.",1,0,0,0,0,1,0,0
180,A Tesla in the disabled parking lot was loaded.,0,0,0,0,1,0,0,1
182,Thanks to Jim for his helpfulness! During the shop they can give you a ride in their shuttle to drop you off e.g. at the mall. Great!,0,0,0,0,0,1,0,0
183,"This site is located on a corporate campus (Chick-fil-A) and has limited access and is not generally available to the public. I have changed the listing to ""restricted,"" where the first commenter who asked ""why list it at all"" posts restricted pages because they A) provide accurate information to the people to whom they are limited, and B) the listing acts as a placeholder so that people do not keep adding the listing, often with incorrect information.",0,0,0,0,0,1,0,0
184,"The last time I checked, the DC fast charger was still not working, and when I blinked, they replied 10 days later that they would address the issue. I also enquired about NRG eVgo to set up a DC / SAE combo here, and a member of staff came up and said that something was already planned. I hope to see some DC fast chargers working here.",1,0,0,0,0,0,0,0
185,Who knows if the new station is already standing?,0,0,0,0,1,0,0,0
186,The fast charger just had to ask to move this ugly yellow juke first!,1,0,0,0,0,0,0,0
187,free DC fast charging. 60kw. requires flashing card.,1,0,0,1,0,0,1,0
188,"These chargers will be offline for the Common Ground Country Fair from September 14th to 22nd. This week, there will be J1772 plugs in the Red Barn 2. Once installed, I will post the location on Plugshare.",0,0,1,0,1,1,0,0
189,All NRG eVgo DC fast chargers are part of No Charge to Charge. We are very happy to be leading a robust charging infrastructure in the Atlanta area and are fully committed to Nissan's No Charge to Charge program.,0,0,0,1,0,0,0,0
190,"If you use the Tesla charger for the second time, you will get a 40 amp charge, as I do not have twin chargers in my Tesla, but it seems to be designed for 70 amps.",1,0,0,0,0,0,1,1
191,"Thank you LADWP, I was at 3%!!",0,1,0,0,0,1,0,0
193,Charged on Friday 15 / 11 / 2013 6 spots available with 1 other charge. They charged $1.25 per hour,1,0,1,1,0,0,0,0
194,"I also had mixed luck with this charger -- seems to be in a delicate break and at least once it started well and then stopped well before a full charge. Watch closely or drive two Tesla and a standard Level 2 charger to Redhook Brewery or Port Inn's (roundabout). For other local EV drivers, Durham, NH is hosting a National Drive Electric Week EV Festival and ribbon cutting for its two new public chargers on September 20, 2015 from 12-16 at Pettee Brook Municipal Lot. Join BMW, Nissan and we hope dozens of local EV owners and many interested students and residents will come. For more information, visit https: / / driveelectricweek.org / event.php? eventid = 422 or send an email to cforcey @ me.com. Organized by the Durham Energy Committee.",1,0,0,0,0,1,0,1
195,"EV-friendly VA policeman tried to help get access, but we found out that the yard is not open for charging if the engineering department is not staffed.",0,0,0,0,0,1,0,0
196,"""Charging error. The car noticed a problem. The plug is unlocked."" The second time this happened with this Chademo combo charger. Who else gets this? I took the car to the dealer after the first time, they checked the battery and could not find anything.",1,0,0,0,0,0,0,0
197,Broken Station. Would not allow me to use EZ card or credit card.,1,0,0,0,0,0,0,0
198,"at the main entrance..... first turn left..... tell them that you are using the charging station..... they should let you in directly with a gate code... which in my opinion is changed daily.... Chargers are visible from the gate..... they are located southwest of the hotel lobby..... not the fastest chargers, but they cannot complain",1,0,0,0,0,1,1,0
199,"If you want to park beyond the full charge, please turn off your alarm system. It is located in the configuration screen.",0,0,1,0,1,0,0,1
200,no longer free. cost me $2.80.,0,0,0,1,0,0,0,0
201,"On the right, most of the EVSE is still defective after a restart attempt. Internal error light flashed and it would not charge my car. I left it off until the service crew came to fix it.",1,0,0,0,0,0,0,0
202,"I stormed here on the 15th and 16th of my trip from Brighton to Effingham, IL. The owners helped me and couldn't have been nicer.",1,1,0,0,0,0,0,0
203,Closed for seasonal reasons.: - (,0,0,0,0,0,1,0,0
204,DC Charger.,1,0,0,0,0,0,0,0
205,It does not matter with the signs. Here are 4 gasoline cars. 2 places for electric vehicles free.,0,0,1,0,0,0,0,0
206,"Only the left station is working, the screen is black since yesterday, but the handle is still loosening and it is being charged with my membership card, the right station says that there is no network connection and that my card is not valid on this station. Mgmt says that the contract to activate the chargers has been concluded.",1,0,0,0,0,0,1,0
207,"For the operation of this page, a SemaCharge card is now required, which must be the only RFID card I do not have.",1,0,0,0,0,0,0,0
208,Quick charging is not right,1,0,0,0,0,0,0,0
209,"After 7 hours in the car to drive 15 miles in the snow / ice of the Atlanta subway in January 2014, I was on electric ""steam"" when I got in - that was my only hope of being recharged enough to drive the last 10 miles home. No sign of a charger. Guess it's behind their locked gate in the background - but not open to the public - at least not after hours.; - (",1,1,0,0,0,1,0,0
210,"All chargers have ""out of service"" signs.",1,0,1,0,0,0,0,0
211,"The Bwm i3 is charged, but they locked the charger in their car so no one could pull the plug.",0,0,0,0,1,0,0,0
212,Charged at 22 km / h,0,0,0,0,0,0,1,0
213,Iced! You have to fine ice vehicles that park there. Turned around and went straight to Trader Joe's.,0,0,1,0,0,0,0,0
214,"A Level 2 j1772 dual coupler, pepstations.com map required, is located near the employee entrance. | See http: / / www.sbwire.com / Press Releases / Electric Car Charging Stations / Electric Vehicle Charging Stations / sbwire-193473.htm",1,0,1,0,1,1,0,0
215,Does anyone know if this station is free?,0,0,0,0,1,0,0,0
216,paid $5.50 for 2.3 hours without actually charging for my Leaf.,1,0,0,1,0,0,0,1
217,Please note that the plug-share addresses are not postal addresses that EV users navigate to the correct driveway for each station.,0,0,0,0,1,1,0,0
218,6 KW in less than an hour!,1,0,0,0,0,0,1,0
219,"Both chargers are needed, the costs are high.",0,0,1,1,0,0,0,0
221,"Nissan NCTC2015-05-10Plugshare and EZ-Charge apps in their current design should have separate listings for L3s, so status (as in repair) and alarms (as in all stations that are in use and station has become available) make sense for real human users of electric vehicles. Nissan advertises 30 minutes free with NCTC on L3s. Unfortunately, they are not honest in several respects: 0. Many stations are out of service, but not listed as such on the billboards in Nissan dealerships or in the EZ-Charge app, which has a special icon for repairs. In Phoenix, about 5 of 21 stations are currently out of service, but still use the normally functioning tool.1. They do not offer 30-minute free sittings.2. They fail to schedule the sessions for you.3. They do not interrupt the session after 30 minutes.4. If you pass, they charge you $7. This requires you to stop work or whatever you do just in time to exit them.",1,0,0,1,0,0,0,1
222,"Left Unit Looks Dead, Right Unit Works With Map",1,0,0,0,0,0,0,0
223,Two points from Tesla's ICEd.. which seems even worse.,0,0,1,0,0,0,0,1
224,"Tom, it's a subway station: people travel many miles to get there, get on the train and take the train to work or to a far away place. I want the subway to change the signage so that it reflects the real purpose of the lot, which is to allow daily commuters with electric vehicles to have a recharged car on the way back from their trip. Subway should have set up many L1 outlets to accompany the L2 so that people can lock up on the L2 at the end of the day and use L1 during the day.",0,0,0,0,1,1,0,0
225,both dcfc are broken again! left side has touch screen problems. right side is empty. worked last night... broken again: - (informed flashing support.,1,0,0,0,0,0,0,0
226,NRG fast charger (Chademo) works well.,1,0,0,0,0,0,0,0
227,"Wow many LEAFs at the Mall of Georgia NRG station, counted 5 charges, but both on Level 3 were full with locked charging ports and NO drivers on site. Had to charge on Level 2 to get home.",0,1,1,0,0,0,0,0
228,Charge.,1,0,0,0,1,0,0,0
229,Two free chargers outside Whole Foods,0,0,0,0,0,1,0,0
230,"BMW doesn't really want to invest in combo chargers, they say over the phone.",1,0,0,0,0,0,0,1
